type,title,url,wiki_title,wiki_url,wiki_extract,ka_best,ka_top3,confidence,matched_terms_bestka,hist_birth,hist_death,hist_mid,wiki_years,wiki_year_median,active_year,ka_status
persoon,"Schmidt, Annie M.G.",https://historiek.net/annie-mg-schmidt-schrijfster/22503/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schmidt, Helmut",https://historiek.net/oud-bondskanselier-helmut-schmidt-96-overleden/54447/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schmidt, Klaus",https://historiek.net/gobekli-tepe-klaus-schmidt/111224/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schmitt, Philipp",https://historiek.net/philipp-schmitt-kampcommandant-van-fort-van-breendonk/132697/,,,,,,0.0,,,,,,,,uncertain
persoon,"Scholl, Sophie",https://historiek.net/sophie-scholl-duitse-verzetsstrijdster/42576/,,,,,,0.0,,,,,,,,uncertain
persoon,"Scholten, Mia",https://historiek.net/brabantse-verzetsstrijdster-96-overleden/7339/,Scholten Mühle,https://nl.wikipedia.org/wiki/Scholten_M%C3%BChle,De Scholten Mühle is een beltmolen uit 1849 in Rees in Duitsland.,KA11,KA11,1.0,molen,,,,1849,1849,1849,confirmed
persoon,"Schoonhoven, Jan",https://historiek.net/het-apostelhuis-sleutelstuk-van-jan-schoonhoven/142451/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schopenhauer, Arthur",https://historiek.net/arthur-schopenhauer-filosoof/77634/,,,,KA3,KA3,1.0,ur,,,,,,,confirmed
persoon,"Schotte, Briek",https://historiek.net/briek-schotte-de-laatste-echte-flandrien/163273/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schouten, Evertje",https://historiek.net/evertje-schouten-1852-1945-voedster-van-prinses-wilhelmina/67962/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schramme, Jean",https://historiek.net/jean-schramme-huurlingenleider-congo/133660/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schroeder van de Kolk, J.L.C.",https://historiek.net/schroeder-van-der-kolk-voorloper-van-de-psychiatrie/174961/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schröder-Schräder, Truus",https://historiek.net/truus-schroder-schrader-rietveld-schroderhuis/171923/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schubert, Franz",https://historiek.net/franz-schubert-componist-biografie/82015/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schumann, Clara",https://historiek.net/google-eert-componiste-clara-schumann/18330/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schurman, Anna Maria van",https://historiek.net/anna-maria-van-schurman-vrouw-universiteit/67986/,,,,KA3,KA3,1.0,ur,,,,,,,confirmed
persoon,"Schweitzer, Albert",https://historiek.net/albert-schweitzer-biografie-medicus-filosoof/149283/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schwertman, Albert",https://historiek.net/albert-schwertman-2016-communist-in-groningen/75555/,,,,,,0.0,,,,,,,,uncertain
persoon,"Sclater, Philip",https://historiek.net/philip-sclater-continent-lemurie-ornitholoog/140311/,,,,,,0.0,,,,,,,,uncertain
persoon,"Scopoli, Giovanni Antonio",https://historiek.net/kwikmijn-idrija/179060/,,,,,,0.0,,,,,,,,uncertain
persoon,"Scott, Blanche",https://historiek.net/blanche-scott-amerikaanse-piloot/136171/,,,,,,0.0,,,,,,,,uncertain
persoon,"Scott, Robert Falcon",https://historiek.net/robert-falcon-scott-1868-1912/743/,,,,,,0.0,,1868,1912,1890,,,1890,uncertain
persoon,"Scoville, Wilbur",https://historiek.net/wilbur-scoville-en-zijn-pittige-schaal-van-scoville/56214/,,,,KA3,KA3,1.0,ur,,,,,,,confirmed
persoon,"Segers, Hercules",https://historiek.net/hercules-segers-invloedrijk-kunstenaar/63446/,,,,,,0.0,,,,,,,,uncertain
persoon,"Selassie, Haile",https://historiek.net/haile-selassie-laatste-keizer-ethiopie/169684/,Haile Selassie,https://nl.wikipedia.org/wiki/Haile_Selassie,"Haile Selassie was keizer van Ethiopië. Tijdens zijn regeerperiode ijverde hij voor onafhankelijkheid, vooruitgang en vrede. Hij kreeg echter veel kritiek, vanwege schending van de mensenrechten en persoonsverheerlijking — onderdanen moesten in zijn bijzijn op handen en knieën zitten. Ook zijn er geruchten dat hij etnische zuiveringen liet uitvoeren.",KA6,"KA6,KA15,KA19",0.2,recht,,,,,,,uncertain
persoon,Seleucus I Nicator,https://historiek.net/seleucidische-rijk-opkomst-ondergang/130051/,Seleucus I Nicator,https://nl.wikipedia.org/wiki/Seleucus_I_Nicator,"Seleucus I, bijgenaamd Nicator, de stichter van het naar hem genoemde Seleucidische Rijk, was aanvankelijk veldheer onder Alexander de Grote en een van zijn diadochen, onder wie hij doorgaat als de meest humane en bekwame.",KA47,KA47,1.0,EU,,,,,,,confirmed
persoon,"Selys Longchamps, Jean de",https://historiek.net/jean-de-selys-longchamps-brussel-aaval/80694/,,,,,,0.0,,,,,,,,uncertain
persoon,"Sendler, Irena",https://historiek.net/irena-sendler-poolse-oorlogsheldin/1332/,,,,,,0.0,,,,,,,,uncertain
persoon,"Serclaes, Everaard t’",https://historiek.net/moord-volksheld-everaard-t-serclaes/73451/,,,,,,0.0,,,,,,,,uncertain
persoon,Sergius III (paus),https://historiek.net/sergius-iii-ca-860-911-de-pornopaus/68388/,,,,KA15,"KA15,KA21",0.5,paus,,,,,,,confirmed
persoon,"Serra, Junípero",https://historiek.net/junipero-serra-apostel-van-californie/136582/,,,,,,0.0,,,,,,,,uncertain
persoon,"Serres, Olivier de",https://historiek.net/olivier-de-serres-frankrijk-agricultuur/69858/,,,,,,0.0,,,,,,,,uncertain
persoon,"Servais, Adrien",https://historiek.net/adrien-servais-de-rondreizende-negentiende-eeuwse-cellist/14481/,,,,,,0.0,,,,,,,,uncertain
persoon,"Servet, Michael",https://historiek.net/michael-servet-theoloog-op-de-brandstapel/150389/,,,,,,0.0,,,,,,,,uncertain
persoon,Seti I (farao),https://historiek.net/graf-farao-seti-i/18963/,,,,KA3,KA3,1.0,farao,,,,,,,confirmed
persoon,"Seurat, Georges",https://historiek.net/thema/georges-seurat/,,,,KA3,"KA3,KA47",0.5,ur,,,,,,,confirmed
persoon,"Severen, Joris Van",https://historiek.net/joris-van-severen-vlaams-nationalist/136424/,,,,,,0.0,,,,,,,,uncertain
persoon,"Severus, Alexander",https://historiek.net/alexander-severus-208-235-nchr/3628/,Severus Alexander,https://nl.wikipedia.org/wiki/Severus_Alexander,Severus Alexander was van 13 maart 222 tot zijn dood keizer van Rome. De vaak in oudere literatuur gebruikte naam Alexander Severus is niet authentiek. Zijn oorspronkelijke naam was Marcus Julius Gessius Bassianus Alexianus. Vanaf juni 221 noemde hij zichzelf Marcus Aurelius Alexander. Als keizer droeg hij de naam Marcus Aurelius Severus Alexander. Geheel in tegenstelling tot een aantal van zijn directe voorgangers was Severus Alexander een gematigd en zachtmoedige keizer.,KA3,"KA3,KA15",0.5,ur,,,,,,,confirmed
persoon,"Shackleton, Ernest",https://historiek.net/thema/ernest-shackleton/,,,,,,0.0,,,,,,,,uncertain
persoon,"Shaffy, Ramses",https://historiek.net/thema/ramses-shaffy/,,,,,,0.0,,,,,,,,uncertain
persoon,Shaka Zoeloe,https://historiek.net/wie-was-shaka-zoeloe-zoeloekoninkrijk/88806/,Shaka Zoeloe,https://nl.wikipedia.org/wiki/Shaka_Zoeloe,"Shaka kaSenzangakhona, ook wel gespeld als Tshaka, Tchaka of Chaka en beter bekend als Shaka Zoeloe, was het stamhoofd van de Zoeloes en de stichter van het Zoeloekoninkrijk. Hij is beroemd om zijn militaire genie maar berucht om de wreedheid van zijn regime.",,,0.0,,,,,,,,uncertain
persoon,"Shakespeare, William",https://historiek.net/william-shakespeare-biografie-toneelstukken/71006/,,,,,,0.0,,,,,,,,uncertain
persoon,"Shannon, Claude",https://historiek.net/claude-shannon-google-doodle/58748/,Shannon Claire Spruill,https://nl.wikipedia.org/wiki/Daffney,Shannon Claire Spruill was een in Duitsland geboren Amerikaans professioneel worstelaarster en valet.,,,0.0,,,,,,,,uncertain
